CommonName,eBird,ScientificName,ExtraName,ListDOCBirds
Australasian Bittern,ausbit1,Botaurus poiciloptilus,Bittern,Bittern (Australasian)
Australasian Gannet,ausgan1,Morus serrator,Gannet,Gannet (Australasian)
Australian Magpie,ausmag2,Gymnorhina tibicen,Magpie,Magpie (Australian)
New Zealand Pipit,auspip3,Anthus novaeseelandiae,Pipit,New Zealand Pipit
Australasian Shoveler,aussho1,Spatula rhynchotis,Shoveler,Shoveler (Australasian)
Marsh Crake,baicra4,Zapornia pusilla,Crake,Marsh Crake
South Island Fantail,blafan1,Rhipidura fuliginosa ,Fantail,Fantail (Sth Is)
Black Stilt,blasti1,Himantopus novaezelandiae,Stilt,Black Stilt
Black-billed Gull,blbgul1,Chroicocephalus bulleri,Gull,Gull (Black-billed)
Black-fronted Dotterel,blfdot1,Charadrius melanops,Dotterel,Black-fronted Dotterel
Black-fronted Tern,blfter1,Chlidonias albostriatus,Tern,Tern (Black-fronted)
Black Oystercatcher,blkoys,Haematopus bachmani,Oystercatcher,Black Oystercatcher
Black Swan,blkswa,Cygnus atratus,Swan,Swan (Black)
Blue Whio,bluduc1,Hymenolaimus malacorhynchos,Whio,Duck (Blue Whio)
Skylark,brnsku3,Alauda arvensis,Skylark,Skylark
Australian Brown Quail,broqua1,Synoicus ypsilophorus ,Quail,Quail (Australian Brown)
Brown Teal,brotea1,Anas chlorotis,Teal,Teal (Brown)
Banded Rail,bubrai1,Gallirallus philippensis,Rail,Rail (Banded)
California Quail,calqua,Callipepla californica,Quail,Quail (California)
Canada Goose,cangoo,Branta canadensis,Goose,Goose (Canada)
Caspian Tern,caster1,Hydroprogne caspia,Tern,Tern (Caspian)
Cattle Egret,categr1,Bubulcus ibis,Egret,Egret (Cattle)
Chatham Robin,charob1,Petroica traversi,Robin,Robin (Black)
Chatham Island Warbler,chiger2,Gerygone albofrontata ,Warbler,Warbler (Chatham Is)
Chukor,chukar,Alectoris chukar,Chukor,Chukor
Cirl Bunting,cirbun1,Emberiza cirlus,Cirl Bunting,Bunting (Cirl)
Common Diving-Petrel,codpet1,Pelecanoides urinatrix,Petrel,Petrel (Common Diving)
Chaffinch,comcha,Fringilla coelebs,Finch,Chaffinch
Indian Myna,commyn,Acridotheres tristis,Myna,Myna (Indian)
Peafowl,compea,Pavo cristatus,Peafowl,Peafowl
Redpoll,comred,Acanthis flammea,Redpoll,Redpoll
Cook's Petrel,coopet,Pterodroma cookii,Petrel,Petrel (Cooks)
Coot,coot1,Fulica sp.,Coot,Coot
Crimson Rosella,criros2,Platycercus elegans,Rosella,Rosella (Crimson)
Banded Dotterel,dobplo1,Charadrius bicinctus,Dotterel,Dotterel (Banded)
Dunnock,dunnoc1,Prunella modularis,Dunnock,Dunnock/Hedge Sparrow
Eastern Rosella,easros1,Platycercus eximius,Rosella,Rosella (Eastern)
Blackbird,eurbla,Turdus merula ,Blackbird,Blackbird
Goldfinch,eurgol,Carduelis carduelis,Finch,Goldfinch
Greenfinch,eurgre1,Chloris chloris,Finch,Greenfinch
Starling,eursta,Sturnus vulgaris,Starling,Starling
Fairy Tern,faiter2,Sternula nereis,Tern,Tern (Fairy)
New Zealand Fernbird,fernbi1,Poodytes punctatus,Fernbird,Fernbird (spp)
Glossy Ibis,gloibi,Plegadis falcinellus,Ibis,Ibis (Glossy)
Australasian Crested Grebe,grcgre1,Podiceps cristatus,Grebe,Grebe (Australasian Crested)
Black Shag,grecor,Phalacrocorax carbo,Shag,Shag (Black)
White Heron,greegr,Ardea alba ,Heron,Heron (White)
Grey Teal,gretea1,Anas gracilis,Teal,Teal (Grey)
Great Spotted Kiwi,grskiw1,Apteryx haastii,Spotted Kiwi,Kiwi (Great Spotted)
Grey Warbler,gryger1,Gerygone igata,Warbler,Warbler (Grey)
Grey Ternlet,grynod1,Anous albivittus ,Ternlet,Noddy (Grey)
Tufted Guineafowl,helgui6,Numida meleagris,Guineafowl,Guineafowl (Tufted)
House Sparrow,houspa,Passer domesticus,Sparrow,Sparrow (House)
Kakapo,kakapo2,Strigops habroptila ,Kakapo,Kakapo
Kea,kea1,Nestor notabilis,Kea,Kea
Southern Black-backed Gull,kelgul,Larus dominicanus,Gull,Gull (Southern Black-backed)
North Island Kokako,kokako3,Callaeas wilsoni,Kokako,Kokako (Nth Is)
Gull,larus,Larinae sp.,Gull,Gull
Little Black Shag,libcor1,Phalacrocorax sulcirostris,Shag,Shag (Little Black)
Little Shag,lipcor1,Microcarbo melanoleucos,Shag,Shag (Little)
Little Spotted Kiwi,liskiw1,Apteryx owenii,Spotted Kiwi,Kiwi (Little Spotted)
Little Egret,litegr,Egretta garzetta,Egret,Egret (Little)
Australasian Little Grebe,litgre1,Tachybaptus ruficollis,Grebe,Dabchick
Dabchick,litgre1,Tachybaptus ruficollis,Dabchick,Dabchick
Little Owl,litowl1,Athene noctua,Owl,Owl (Little)
Little Blue Penguin,litpen1,Eudyptula minor,Penguin,Penguin (Little Blue)
Long-tailed Cuckoo,lotkoe1,Urodynamis taitensis,Cuckoo,Cuckoo (Long-tailed)
Mallard Duck,mallar3,Anas platyrhynchos,Duck,Duck (Mallard)
Orange-fronted Parakeet,malpar2,Cyanoramphus malherbi,Parakeet,Parakeet (Orange-fronted)
Spur-winged Plover,maslap1,Vanellus miles,Plover,Plover (Spur-winged)
Morepork,morepo2,Ninox novaeseelandiae,Morepork,Morepork
Mottled Petrel,motpet,Pterodroma inexpectata,Petrel,Petrel (Mottled)
Mute Swan,mutswa,Cygnus olor ,Swan,Swan (Mute)
Bellbird,nezbel1,Anthornis melanura,Bellbird,Bellbird (spp)
Bittern,nezbit1,Ixobrychus novaezelandiae,Bittern,Bittern
New Zealand Falcon,nezfal1,Falco novaeseelandiae,Falcon,Falcon (NZ)
Fantail,nezfan1,Rhipidura fuliginosa ,Fantail,Fantail (spp)
New Zealand Kaka,nezkak1,Nestor meridionalis ,Kaka,Kaka (spp)
Kereru,nezpig2,Hemiphaga novaeseelandiae,Kereru,Pigeon (NZ Kereru Kukupa)
North Island Robin,nezrob2,Petroica longipes,Robin,Robin (Nth Is)
South Island Robin,nezrob3,Petroica australis,Robin,Robin (Sth Is)
New Zealand Scaup,nezsca1,Aythya novaeseelandiae,Scaup,Scaup (NZ)
North Island Brown Kiwi,nibkiw1,Apteryx mantelli,Brown Kiwi,Kiwi (Nth Is Brown)
Okarito Brown Kiwi ,okbkiw1,Apteryx rowi,Brown Kiwi,Kiwi (Okarito Brown)
Oystercatcher,oyster1,Haematopus sp ,Oystercatcher,Oystercatcher
Grey Duck,pabduc1,Anas superciliosa,Duck,Duck (Grey)
Parakeet,parake,Psittaciformes sp.,Parakeet,Parakeet
Black Petrel,parpet1,Procellaria parkinsoni,Petrel,Petrel (Black)
Paradise Shelduck,parshe1,Tadorna variegata,Shelduck,Shelduck (Paradise)
Pied Shag,piecor1,Phalacrocorax varius,Shag,Shag (Pied)
Pied Stilt,piesti1,Himantopus leucocephalus,Stilt,Stilt (Pied)
