,Folder,,,File,,Species 1,Species 2+,Note
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,010E78EB-3FD7-4F46-A61B-DA949F282C1C_27.flac,,Tui/bellbird,Silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,016E3764-3E28-4D8C-871A-41B5D329B8C7_297.flac,,Tomtit,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezkak1,02A975C4-C531-4CC9-8A32-CE26925822DB_285.flac,,,,Not a bird call
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezkak1,03509C35-C9C7-4A5B-BC7E-00064D0B3581_286.flac,,Tui/bellbird,,short
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,039780AA-3C94-496B-BD85-C288EDC172DC_147.flac,,Tomtit,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,04859039-0BD2-4FCB-BA4F-09D657782E86_147.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,058CDDF1-E676-4CB4-9A86-0BBF7D976221_267.flac,,silvereye,blackbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,07145E09-8BB6-4821-AF4A-5BF90C3A08C2_0.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,comcha,077725FA-8343-492C-9A17-04DCA63DA212_27.flac,,Chaffinch,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,085817DD-F09F-49E4-AEB4-171D9476E06B_277.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,morepo2,089C1383-D316-4FDA-9A63-01519CDC58FF_213.flac,,Morepork,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,091E44D9-3172-43EF-B861-1E9806CA2703_198.flac,,Tui/bellbird,Silvereye,Unknown high-pitched call
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,0931E5C6-B233-4094-8E8B-10421F866B79_237.flac,,Fantail,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,093A7B91-C7BF-4012-A8A1-7A70938895B5_267.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,0A4FEFD9-90E8-40C2-AAAB-F16440CE41C2_27.flac,,Unknown high-pitched call,"Tui/bellbird, silvereye",
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,0A622F27-F0D9-4FBA-BCDF-1B5B8477FA36_12.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,0A6EFA47-267B-46AA-0867-0A9AB2CE8B4A_27.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezkak1,0A70B849-3A73-4391-BE37-AC4968CF2AF4_7.flac,,Kaka,Silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,eurbla,0AABCBFD-006A-4250-83B1-A1A23EBA859B_0.flac,,Nothing,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,0AF3A56D-65DC-45E3-9925-C5B13FCB6620_39.flac,,Tui/bellbird,silvereye,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,0BC1748E-38B5-4562-991F-EC62C66BC676_48.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,0C40D82D-7BA7-43B0-89EA-BEF72AAA5241_282.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,0C828A15-48AC-4382-AF3F-B3F4EF7925E3_237.flac,,silvereye,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,0D1D7A3F-B7E6-40F0-BF15-0B2F66061FB2_265.flac,,Grey warbler,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tomtit1,0D63494B-23A0-4141-BAD9-5C91B0EFC02C_147.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,gryger1,0DADC8A3-01D9-47FB-B8C7-BD82BD4364DD_38.flac,,,,Poor quality
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,riflem1,0DB000D5-D315-4534-9638-08FAEB506F47_63.flac,,Rifleman,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezbel1,0DB36AEC-12BB-4915-AB7D-0070D9A9691F_57.flac,,Tui/bellbird,,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,nezfan1,0DCB56CD-3EAF-4D91-B869-49A11AB16D60_175.flac,,Tui/bellbird,Unknown high-pitched call,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,tui1,0DDA198A-52E9-441D-875F-0E73787FC869_26.flac,,Fantail,Tui/bellbird,
DOC_002_DuncanBayParinga,DOC_002_DuncanBayParinga,train_audio,silver3,0E0BA74E-61FF-4DBF-8662-03B3944B17CF_237.flac,,silvereye,,
